Reaction_Coordinate 	 Energy
0 -807.09152
0.050110758 -807.00641
0.075016443 -806.94491
0.091997338 -806.8935
0.10749189 -806.83795
0.12304572 -806.77152
0.1387765 -806.6907
0.15449277 -806.59334
0.17001216 -806.47817
0.18524016 -806.34521
0.20015627 -806.19466
0.21477968 -806.02718
0.22914465 -805.8438
0.24328796 -805.64507
0.25724359 -805.43182
0.27104099 -805.20499
0.28470485 -804.96551
0.29825559 -804.71442
0.31170991 -804.45234
0.32508146 -804.1802
0.3383813 -803.89875
0.35161841 -803.60918
0.36480007 -803.31179
0.37793216 -803.0081
0.39101941 -802.69887
0.40406565 -802.38485
0.41707393 -802.06673
0.43004671 -801.74592
0.44298596 -801.42299
0.45589325 -801.09931
0.46876986 -800.77597
0.48161684 -800.45365
0.4944351 -800.1335
0.50722545 -799.8169
0.51998865 -799.50484
0.53272551 -799.19908
0.54543689 -798.89992
0.55812379 -798.60982
0.57078741 -798.32945
0.58342923 -798.06014
0.59605104 -797.80422
0.6086551 -797.56245
0.62124425 -797.33684
0.63382202 -797.1293
0.64639286 -796.94112
0.65896238 -796.77424
0.67153768 -796.63046
0.68412786 -796.51165
0.69674463 -796.41942
0.70940328 -796.3556
0.72212265 -796.32235
0.73491235 -796.32046
0.7478047 -796.35137
0.76083857 -796.41659
0.77409409 -796.51588
0.78767384 -796.65007
0.80171545 -796.81844
0.81645313 -797.01998
0.83234092 -797.25283
0.85042808 -797.5157
0.87356009 -797.80699
0.90873614 -798.07732
0.96134178 -798.19778
1 -798.19851
